time,acc_x,acc_y,acc_z,gyro_pitch,gyro_roll,gyro_yaw,input_freq
1738609395.76337,0,3,9,-167,898,8111,f
1738609395.7674081,2,1,7,-223,-49,8445,f
1738609395.772434,3,2,8,-111,2096,7983,f
1738609395.7774599,1,3,9,-147,1676,7967,f
1738609395.782474,1,2,6,-227,-101,8433,f
1738609395.787174,0,2,9,-135,2400,7772,f
1738609395.791269,2,1,6,-245,154,8343,f
1738609395.79533,5,0,5,-185,334,8393,f
1738609395.799454,3,2,9,-126,2751,7693,f
1738609395.8044622,1,4,9,-208,746,8186,f
1738609395.809481,5,1,6,-261,-439,8587,f
1738609395.8141708,2,4,6,-124,2503,7808,f
1738609395.8189151,2,1,6,-237,-570,8580,f
1738609395.8230348,3,2,2,-144,1551,8102,f
1738609395.8271072,3,1,6,-158,1953,7895,f
1738609395.831191,0,1,8,-211,126,8352,f
1738609395.83521,4,2,6,-180,315,8366,f
1738609395.8392801,3,4,6,-112,1992,7923,f
1738609395.8433468,0,2,8,-170,1441,8000,f
1738609395.848355,4,0,4,-211,-472,8586,f
1738609395.853384,3,2,4,-157,1357,8134,f
1738609395.858411,1,4,9,-135,2470,7743,f
1738609395.863038,2,0,6,-185,516,8346,f
1738609395.867548,6,1,7,-123,2282,7831,f
1738609395.872567,4,4,10,-174,1346,8022,f
1738609395.8775969,2,3,5,-209,203,8394,f
1738609395.882612,4,1,4,-189,915,8241,f
1738609395.886722,2,3,8,-118,2468,7733,f
1738609395.8910232,2,2,7,-203,-268,8515,f
1738609395.895117,1,1,5,-114,1931,7947,f
1738609395.900127,3,5,7,-174,1686,7967,f
1738609395.9051452,2,2,8,-208,241,8376,f
1738609395.910031,5,1,6,-198,316,8409,f
1738609395.915112,0,4,10,-161,1878,7892,f
1738609395.9201221,0,1,3,-215,-161,8533,f
1738609395.92513,2,0,5,-172,780,8240,f
1738609395.9301481,1,2,7,-152,2208,7838,f
1738609395.934879,2,1,6,-205,368,8355,f
1738609395.93907,3,2,2,-203,638,8290,f
1738609395.9431849,1,2,7,-149,2310,7772,f
1738609395.947294,1,2,8,-175,1184,8111,f
1738609395.951436,1,2,5,-228,-135,8508,f
1738609395.95646,4,0,4,-177,1006,8186,f
1738609395.961486,1,4,5,-156,1726,7939,f
1738609395.9664981,0,4,8,-173,1466,8015,f
1738609395.9710479,4,0,6,-177,886,8198,f
1738609395.975174,1,3,6,-135,2093,7866,f
1738609395.9792671,0,5,6,-196,1385,8066,f
1738609395.983397,2,1,5,-191,536,8319,f
1738609395.988422,2,1,3,-189,348,8395,f
1738609395.9934442,4,2,5,-148,2011,7855,f
1738609395.998464,1,2,6,-169,1423,8041,f
1738609396.003391,2,2,5,-185,282,8392,f
1738609396.0084019,0,2,7,-185,1311,8083,f
1738609396.013422,0,3,6,-153,2090,7825,f
1738609396.017542,0,1,10,-205,727,8239,f
1738609396.022562,3,1,7,-209,535,8337,f
1738609396.027573,1,1,7,-123,2050,7814,f
1738609396.031689,0,1,7,-186,1253,8108,f
1738609396.036715,0,3,4,-201,328,8386,f
1738609396.041738,4,1,4,-177,485,8355,f
1738609396.0467699,5,2,7,-151,1852,7880,f
1738609396.0510159,1,3,6,-188,840,8240,f
1738609396.055231,4,2,5,-202,160,8436,f
1738609396.059277,2,0,6,-205,1030,8167,f
1738609396.0633721,3,2,6,-163,1923,7849,f
1738609396.0676138,0,3,8,-163,1415,8028,f
1738609396.072635,2,1,6,-188,733,8250,f
1738609396.0776582,3,3,2,-178,230,8415,f
1738609396.082676,2,2,5,-160,1341,8048,f
1738609396.086986,1,2,6,-154,1486,8038,f
1738609396.091433,1,3,4,-207,381,8391,f
1738609396.095513,2,0,7,-188,756,8257,f
1738609396.1005309,3,1,4,-192,1088,8142,f
1738609396.105553,2,3,6,-167,1861,7886,f
1738609396.1105762,1,4,7,-162,1229,8116,f
1738609396.11472,0,2,9,-172,620,8310,f
1738609396.1193368,0,2,6,-167,1042,8158,f
1738609396.124347,3,4,4,-147,1718,7943,f
1738609396.129358,2,2,7,-186,1545,8009,f
1738609396.1343942,1,3,6,-197,960,8216,f
1738609396.1392262,6,3,5,-210,846,8175,f
1738609396.1433852,3,1,9,-183,1231,8099,f
1738609396.147412,1,3,8,-170,1761,7918,f
1738609396.151492,1,4,8,-154,1158,8175,f
1738609396.155554,2,3,6,-188,857,8232,f
1738609396.160578,2,0,6,-173,386,8367,f
1738609396.1655931,5,2,6,-160,1129,8153,f
1738609396.171149,3,1,7,-175,1265,8076,f
1738609396.175932,0,3,7,-166,1652,7975,f
1738609396.1808388,1,3,3,-181,865,8215,f
1738609396.185864,3,1,4,-185,448,8340,f
1738609396.190617,1,1,7,-174,1146,8128,f
1738609396.1952,1,1,8,-148,1629,7991,f
1738609396.199312,2,2,8,-183,1054,8188,f
1738609396.204332,2,2,7,-190,906,8227,f
1738609396.209353,2,2,6,-217,475,8353,f
1738609396.214367,2,0,5,-179,956,8171,f
1738609396.219069,1,1,10,-156,1630,7967,f
1738609396.223142,0,1,9,-158,1278,8116,f
1738609396.236981,3,1,8,-157,995,8180,f
1738609396.244596,3,1,8,-157,995,8180,f
1738609396.250158,3,1,8,-157,995,8180,f
1738609396.2551591,-1,1,6,-174,980,8189,f
1738609396.260511,2,2,8,-214,572,8294,f
