time,acc_x,acc_y,acc_z,gyro_pitch,gyro_roll,gyro_yaw,input_freq
1738609333.518753,-5,-165,-26,1822,-9180,10102,f
1738609333.5235798,-91,106,67,-2480,4694,6502,f
1738609333.527616,29,126,50,-541,4619,6449,f
1738609333.5317729,85,-28,-15,2146,-4537,8973,f
1738609333.5358028,9,-147,-33,1822,-9254,10190,f
1738609333.540821,-97,-43,17,-938,-2672,8418,f
1738609333.545842,-79,121,56,-2486,5533,6361,f
1738609333.550421,46,126,31,-480,4454,6549,f
1738609333.555493,12,-144,-37,1780,-9782,10291,f
1738609333.5605052,-102,-27,17,-1005,-1740,8181,f
1738609333.565525,-68,134,58,-2434,6578,6034,f
1738609333.57055,53,112,24,-292,3838,6669,f
1738609333.574721,93,-64,-29,2342,-7015,9546,f
1738609333.5797381,-128,-11,36,-1265,-310,7730,f
1738609333.583814,-75,135,62,-2222,7071,5950,f
1738609333.5881631,61,77,18,370,1535,7338,f
1738609333.593183,78,-89,-20,2519,-8348,9984,f
1738609333.598201,-49,-127,-5,1092,-8580,10104,f
1738609333.603221,-137,30,47,-1834,2397,7075,f
1738609333.607587,83,51,6,836,-664,7993,f
1738609333.611648,71,-115,-25,2465,-10081,10446,f
1738609333.6157298,-61,-100,4,621,-7271,9777,f
1738609333.6207528,-105,68,51,-2156,4431,6655,f
1738609333.625778,21,146,46,-1477,7229,5875,f
1738609333.6307998,125,18,-7,1402,-3571,8658,f
1738609333.635853,-81,-44,25,-317,-3566,8702,f
