time,acc_x,acc_y,acc_z,gyro_pitch,gyro_yaw,gyro_roll,vibration_status,label,person_id
2025-01-08 14:00:17.648209,4,3,6,-2502,7736,1257,0,0,0
2025-01-08 14:00:17.649488,4,4,5,-2522,7751,1260,0,0,0
2025-01-08 14:00:17.650742,4,4,5,-2522,7751,1260,0,0,0
2025-01-08 14:00:17.652021,4,4,5,-2522,7751,1260,0,0,0
2025-01-08 14:00:17.653265,4,3,9,-2531,7749,1228,0,0,0
2025-01-08 14:00:17.654524,4,3,9,-2531,7749,1228,0,0,0
2025-01-08 14:00:17.655784,4,3,9,-2531,7749,1228,0,0,0
2025-01-08 14:00:17.656974,3,2,7,-2518,7733,1243,0,0,0
2025-01-08 14:00:17.658238,3,2,7,-2518,7733,1243,0,0,0
2025-01-08 14:00:17.659500,3,2,7,-2518,7733,1243,0,0,0
2025-01-08 14:00:17.660729,2,2,3,-2526,7762,1233,0,0,0
2025-01-08 14:00:17.661991,2,2,3,-2526,7762,1233,0,0,0
2025-01-08 14:00:17.663246,2,2,3,-2526,7762,1233,0,0,0
2025-01-08 14:00:17.664505,3,2,8,-2539,7713,1238,0,0,0
2025-01-08 14:00:17.665764,3,2,8,-2539,7713,1238,0,0,0
2025-01-08 14:00:17.667027,3,2,8,-2539,7713,1238,0,0,0
2025-01-08 14:00:17.668295,3,2,8,-2539,7713,1238,0,0,0
2025-01-08 14:00:17.669556,2,2,6,-2511,7737,1234,0,0,0
2025-01-08 14:00:17.670814,2,2,6,-2511,7737,1234,0,0,0
2025-01-08 14:00:17.672074,2,2,6,-2511,7737,1234,0,0,0
2025-01-08 14:00:17.673119,1,3,4,-2537,7744,1238,0,0,0
2025-01-08 14:00:17.674381,1,3,4,-2537,7744,1238,0,0,0
2025-01-08 14:00:17.675644,1,3,4,-2537,7744,1238,0,0,0
2025-01-08 14:00:17.676902,2,1,5,-2505,7722,1235,0,0,0
2025-01-08 14:00:17.678164,2,1,5,-2505,7722,1235,0,0,0
2025-01-08 14:00:17.679427,2,1,5,-2505,7722,1235,0,0,0
2025-01-08 14:00:17.680685,1,4,9,-2516,7723,1254,0,0,0
2025-01-08 14:00:17.681954,1,4,9,-2516,7723,1254,0,0,0
2025-01-08 14:00:17.683220,1,4,9,-2516,7723,1254,0,0,0
2025-01-08 14:00:17.684485,1,4,9,-2516,7723,1254,0,0,0
2025-01-08 14:00:17.685760,1,0,5,-2518,7736,1270,0,0,0
2025-01-08 14:00:17.687026,1,0,5,-2518,7736,1270,0,0,0
2025-01-08 14:00:17.688331,1,0,5,-2518,7736,1270,0,0,0
2025-01-08 14:00:17.689596,1,0,4,-2478,7721,1265,0,0,0
2025-01-08 14:00:17.690861,1,0,4,-2478,7721,1265,0,0,0
2025-01-08 14:00:17.692123,1,0,4,-2478,7721,1265,0,0,0
2025-01-08 14:00:17.693383,1,0,6,-2491,7743,1289,0,0,0
2025-01-08 14:00:17.694652,1,0,6,-2491,7743,1289,0,0,0
2025-01-08 14:00:17.695910,1,0,6,-2491,7743,1289,0,0,0
2025-01-08 14:00:17.697170,0,0,4,-2494,7715,1330,0,0,0
2025-01-08 14:00:17.698478,0,0,4,-2494,7715,1330,0,0,0
2025-01-08 14:00:17.699753,0,0,4,-2494,7715,1330,0,0,0
2025-01-08 14:00:17.701019,0,0,6,-2470,7725,1279,0,0,0
2025-01-08 14:00:17.702280,0,0,6,-2470,7725,1279,0,0,0
2025-01-08 14:00:17.703383,0,0,6,-2470,7725,1279,0,0,0
2025-01-08 14:00:17.704742,2,0,7,-2507,7730,1298,0,0,0
2025-01-08 14:00:17.706010,2,0,7,-2507,7730,1298,0,0,0
2025-01-08 14:00:17.707268,2,0,7,-2507,7730,1298,0,0,0
2025-01-08 14:00:17.708846,1,0,8,-2466,7717,1317,0,0,0
2025-01-08 14:00:17.710111,1,0,8,-2466,7717,1317,0,0,0
2025-01-08 14:00:17.711370,1,0,8,-2466,7717,1317,0,0,0
2025-01-08 14:00:17.712724,2,1,7,-2485,7728,1328,0,0,0
2025-01-08 14:00:17.713984,2,1,7,-2485,7728,1328,0,0,0
2025-01-08 14:00:17.715252,2,1,7,-2485,7728,1328,0,0,0
2025-01-08 14:00:17.716544,2,1,7,-2485,7728,1328,0,0,0
2025-01-08 14:00:17.717808,2,0,7,-2466,7723,1345,0,0,0
2025-01-08 14:00:17.719073,2,0,7,-2466,7723,1345,0,0,0
2025-01-08 14:00:17.720336,2,0,7,-2466,7723,1345,0,0,0
2025-01-08 14:00:17.721598,0,2,6,-2473,7728,1358,0,0,0
2025-01-08 14:00:17.722861,0,2,6,-2473,7728,1358,0,0,0
2025-01-08 14:00:17.724124,0,2,6,-2473,7728,1358,0,0,0
2025-01-08 14:00:17.725384,1,0,7,-2491,7696,1357,0,0,0
2025-01-08 14:00:17.726648,1,0,7,-2491,7696,1357,0,0,0
2025-01-08 14:00:17.727904,1,0,7,-2491,7696,1357,0,0,0
2025-01-08 14:00:17.729177,4,1,6,-2483,7735,1361,0,0,0
2025-01-08 14:00:17.730443,4,1,6,-2483,7735,1361,0,0,0
2025-01-08 14:00:17.731481,4,1,6,-2483,7735,1361,0,0,0
2025-01-08 14:00:17.732928,1,1,6,-2486,7720,1344,0,0,0
2025-01-08 14:00:17.734196,1,1,6,-2486,7720,1344,0,0,0
2025-01-08 14:00:17.735464,1,1,6,-2486,7720,1344,0,0,0
2025-01-08 14:00:17.736730,3,3,6,-2482,7711,1350,0,0,0
2025-01-08 14:00:17.737996,3,3,6,-2482,7711,1350,0,0,0
2025-01-08 14:00:17.739257,3,3,6,-2482,7711,1350,0,0,0
2025-01-08 14:00:17.740761,3,2,6,-2505,7729,1331,0,0,0
